name,kisaadi,bolum
UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION,PRSC,UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION
UNDERGRADUATE PROGRAM IN PRESCHOOL EDUCATION,PRSO,UNDERGRADUATE PROGRAM IN PRESCHOOL EDUCATION
PSYCHOLOGY,PSY,PSYCHOLOGY
MATHEMATICS AND SCIENCE EDUCATION,SCED,MATHEMATICS AND SCIENCE EDUCATION
SECONDARY SCHOOL SCIENCE AND MATHEMATICS EDUCATION,SCED,SECONDARY SCHOOL SCIENCE AND MATHEMATICS EDUCATION
SYSTEMS & CONTROL ENGINEERING,SCO,SYSTEMS & CONTROL ENGINEERING
SOCIOLOGY,SOC,SOCIOLOGY
SOCIAL POLICY WITH THESIS,SPL,SOCIAL POLICY WITH THESIS
SOFTWARE ENGINEERING,SWE,SOFTWARE ENGINEERING
SOFTWARE ENGINEERING WITH THESIS,SWE,SOFTWARE ENGINEERING WITH THESIS
TURKISH COURSES COORDINATOR,TK,TURKISH COURSES COORDINATOR
TURKISH LANGUAGE & LITERATURE,TKL,TURKISH LANGUAGE & LITERATURE
TOURISM ADMINISTRATION PROGRAM,TOUR,TOURISM ADMINISTRATION PROGRAM
TRANSLATION & INTERPRETING,TR,TRANSLATION & INTERPRETING
TRANSLATION AND INTERPRETING STUDIES,TR,TRANSLATION AND INTERPRETING STUDIES
SUSTAINABLE TOURISM MANAGEMENT,TRM,SUSTAINABLE TOURISM MANAGEMENT
TOURISM ADMINISTRATION,TRM,TOURISM ADMINISTRATION
TOURISM MANAGEMENT,TRM,TOURISM MANAGEMENT
TRANSLATION,WTR,TRANSLATION
EXECUTIVE MBA,XMBA,EXECUTIVE MBA
SCHOOL OF FOREIGN LANGUAGES,YADYOK,SCHOOL OF FOREIGN LANGUAGES
